Modelo,Clase,FPR,TPR,Threshold,AUC
SVM,ADHD,0.6229253112033195,0.9027777777777778,3.6126838054020656e-05,0.6929100391885661
SVM,ADHD,0.6229253112033195,0.9166666666666666,3.6125472178786986e-05,0.6929100391885661
SVM,ADHD,0.6390041493775933,0.9166666666666666,3.148255977468915e-05,0.6929100391885661
SVM,ADHD,0.6390041493775933,0.9305555555555556,3.141053151440319e-05,0.6929100391885661
SVM,ADHD,0.6493775933609959,0.9305555555555556,2.7475648335339415e-05,0.6929100391885661
SVM,ADHD,0.6493775933609959,0.9444444444444444,2.737262801900769e-05,0.6929100391885661
SVM,ADHD,0.6773858921161826,0.9444444444444444,2.0511824532992688e-05,0.6929100391885661
SVM,ADHD,0.6773858921161826,0.9583333333333334,2.033506913852599e-05,0.6929100391885661
SVM,ADHD,0.7437759336099585,0.9583333333333334,1.1567342142194233e-05,0.6929100391885661
SVM,ADHD,0.7437759336099585,0.9722222222222222,1.1473609996338799e-05,0.6929100391885661
SVM,ADHD,0.783195020746888,0.9722222222222222,7.228933378094234e-06,0.6929100391885661
SVM,ADHD,0.783195020746888,0.9861111111111112,7.194490962490483e-06,0.6929100391885661
SVM,ADHD,0.8796680497925311,0.9861111111111112,1.48874912992571e-06,0.6929100391885661
SVM,ADHD,0.8796680497925311,1.0,1.4577334340299233e-06,0.6929100391885661
SVM,ADHD,1.0,1.0,1.7187842194697164e-14,0.6929100391885661
SVM,Anxiety_Stress,0.0,0.0,inf,0.9445828874576263
SVM,Anxiety_Stress,0.0,0.0008123476848090983,0.9999294688207884,0.9445828874576263
SVM,Anxiety_Stress,0.0,0.02843216896831844,0.9993803881398952,0.9445828874576263
SVM,Anxiety_Stress,0.0013003901170351106,0.02843216896831844,0.999370364663009,0.9445828874576263
SVM,Anxiety_Stress,0.0013003901170351106,0.07311129163281885,0.9988666143368263,0.9445828874576263
SVM,Anxiety_Stress,0.002600780234070221,0.07311129163281885,0.9988569304513893,0.9445828874576263
SVM,Anxiety_Stress,0.002600780234070221,0.12753858651502845,0.9982005747296124,0.9445828874576263
SVM,Anxiety_Stress,0.0039011703511053317,0.12753858651502845,0.9981969976059842,0.9445828874576263
SVM,Anxiety_Stress,0.0039011703511053317,0.2347684809098294,0.99630296179769,0.9445828874576263
SVM,Anxiety_Stress,0.005201560468140442,0.2347684809098294,0.9963018128467509,0.9445828874576263
SVM,Anxiety_Stress,0.005201560468140442,0.24939073923639318,0.9960143968463077,0.9445828874576263
SVM,Anxiety_Stress,0.006501950585175552,0.24939073923639318,0.9959836559821745,0.9445828874576263
SVM,Anxiety_Stress,0.006501950585175552,0.2826969943135662,0.9951296073797641,0.9445828874576263
SVM,Anxiety_Stress,0.007802340702210663,0.2826969943135662,0.9950779176467566,0.9445828874576263
SVM,Anxiety_Stress,0.007802340702210663,0.29731925264013,0.9946770754234343,0.9445828874576263
